Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level,anomaly_score,ML_Risk_Score,ML_Risk_Level,Anomaly_Type,AI_Explanation
2025-01,Rajasthan,118375,113162,5213,118375,118375,51766,688,65921,51766,0.0058,0.4373,0.5569,0.9942,0.5627,0.0,0.5627,0.506,0,0.9119,0,5.23,Normal,0.0523,5.23,Normal,Normal Workflow,Normal administrative progression (Risk Score: 5.2). Features align with standard state baselines.
2025-01,Tamil Nadu,34667,33119,1548,34667,34667,16508,5448,12711,16508,0.1572,0.4762,0.3667,0.8428,0.5238,0.0,0.5238,-0.12,0,0.9107,0,2.75,Normal,0.0275,2.75,Normal,Normal Workflow,Normal administrative progression (Risk Score: 2.8). Features align with standard state baselines.
2025-01,Telangana,655249,651822,3427,655249,721,721,560102,94426,231456,0.8548,0.0011,0.1441,0.1452,0.9989,0.0,0.9989,-0.8527,0,0.9895,0,73.81,High Risk,0.7381,73.81,High Risk,Administrative Bottleneck,High Risk (Score: 73.8): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 99.9%).
2025-01,Tripura,200721,200557,164,200721,200721,128032,3841,68848,128032,0.0191,0.6379,0.343,0.9809,0.3621,0.0,0.3621,-0.198,0,0.9984,0,11.47,Normal,0.1147,11.47,Normal,Normal Workflow,Normal administrative progression (Risk Score: 11.5). Features align with standard state baselines.
2025-01,Uttar Pradesh,93739,92577,1162,93739,93739,18910,68,74761,18910,0.0007,0.2017,0.7975,0.9993,0.7983,0.0,0.7983,1.298,0,0.9752,0,11.0,Normal,0.11,11.0,Normal,Normal Workflow,Normal administrative progression (Risk Score: 11.0). Features align with standard state baselines.
2025-01,Uttarakhand,6678,3587,3091,0,0,0,185,6493,185,0.0277,0.0,0.9723,0.9723,0.0,1.0,0.0,1.8734,0,0.0743,0,22.3,Normal,0.223,22.3,Normal,Normal Workflow,Normal administrative progression (Risk Score: 22.3). Features align with standard state baselines.
2025-01,West Bengal,142081,131962,10119,51052,44444,44444,1050,96587,45130,0.0074,0.3128,0.6798,0.9926,0.0465,0.6407,0.1294,0.9106,0,0.8576,0,17.27,Normal,0.1727,17.27,Normal,Normal Workflow,Normal administrative progression (Risk Score: 17.3). Features align with standard state baselines.
2025-02,Andhra Pradesh,288381,285087,3294,288381,288381,228473,1498,58410,228473,0.0052,0.7923,0.2025,0.9948,0.2077,0.0,0.2077,-0.6757,-6,0.9772,0,17.57,Normal,0.1757,17.57,Normal,Normal Workflow,Normal administrative progression (Risk Score: 17.6). Features align with standard state baselines.
2025-02,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3021,0,0.922,0,30.88,Normal,0.3088,30.88,Normal,Normal Workflow,Normal administrative progression (Risk Score: 30.9). Features align with standard state baselines.
2025-02,Bihar,4696,4696,0,4696,4696,191,9,4496,191,0.0019,0.0407,0.9574,0.9981,0.9593,0.0,0.9593,1.6593,-3677,1.0,0,24.9,Normal,0.249,24.9,Normal,Normal Workflow,Normal administrative progression (Risk Score: 24.9). Features align with standard state baselines.
2025-02,Chhattisgarh,941977,888028,53949,941977,941977,527833,13495,400649,527833,0.0143,0.5603,0.4253,0.9857,0.4397,0.0,0.4397,0.0134,0,0.8855,0,92.64,High Risk,0.9264,92.64,High Risk,Administrative Bottleneck,High Risk (Score: 92.6): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 44.0%).
2025-02,Goa,10136,9757,379,10136,6474,4660,5298,178,871,0.5227,0.4597,0.0176,0.4773,0.5403,0.0,0.5403,-1.2477,-192,0.9252,0,20.94,Normal,0.2094,20.94,Normal,Normal Workflow,Normal administrative progression (Risk Score: 20.9). Features align with standard state baselines.
2025-02,Gujarat,190056,182869,7187,190056,190056,103080,84644,2332,103080,0.4454,0.5424,0.0123,0.5546,0.4576,0.0,0.4576,-1.2641,0,0.9244,0,18.91,Normal,0.1891,18.91,Normal,Normal Workflow,Normal administrative progression (Risk Score: 18.9). Features align with standard state baselines.
2025-02,Himachal Pradesh,5419,4880,539,5419,5419,659,4706,54,659,0.8684,0.1216,0.01,0.1316,0.8784,0.0,0.8784,-1.2712,0,0.8011,0,16.78,Normal,0.1678,16.78,Normal,Normal Workflow,Normal administrative progression (Risk Score: 16.8). Features align with standard state baselines.
2025-02,J&K,46090,33233,12857,46090,46090,6020,146,39924,6020,0.0032,0.1306,0.8662,0.9968,0.8694,0.0,0.8694,1.3772,0,0.4421,0,17.64,Normal,0.1764,17.64,Normal,Normal Workflow,Normal administrative progression (Risk Score: 17.6). Features align with standard state baselines.
2025-02,Jharkhand,110756,107032,3724,110756,110756,17577,65072,28107,61970,0.5875,0.1587,0.2538,0.4125,0.8413,0.0,0.8413,-0.5171,-15046,0.9328,0,22.87,Normal,0.2287,22.87,Normal,Normal Workflow,Normal administrative progression (Risk Score: 22.9). Features align with standard state baselines.
2025-02,Karnataka,294489,288549,5940,294489,294489,16326,24894,253269,16326,0.0845,0.0554,0.86,0.9155,0.9446,0.0,0.9446,1.3581,0,0.9597,0,36.74,Normal,0.3674,36.74,Normal,Normal Workflow,Normal administrative progression (Risk Score: 36.7). Features align with standard state baselines.
2025-02,Kerala,45446,44455,991,45446,39773,39773,0,12977,29400,0.0,0.8752,0.2855,1.0,0.1248,0.0,0.1248,-0.419,0,0.9564,1,20.0,Normal,0.2,20.0,Normal,Normal Workflow,Normal administrative progression (Risk Score: 20.0). Features align with standard state baselines.
2025-02,Madhya Pradesh,627513,585326,42187,627513,627513,294877,10229,322407,294877,0.0163,0.4699,0.5138,0.9837,0.5301,0.0,0.5301,0.2872,0,0.8655,0,35.42,Normal,0.3542,35.42,Normal,Normal Workflow,Normal administrative progression (Risk Score: 35.4). Features align with standard state baselines.
2025-02,Maharashtra,409156,397897,11259,11747,11747,11747,224778,172631,208335,0.5494,0.0287,0.4219,0.4506,0.0,0.9713,0.0,0.0029,196588,0.945,0,50.86,Attention,0.5086,50.86,Attention,Rejection Spike,Attention (Score: 50.9): High claim rejection rate (42.2%) deviating from national monthly baseline.
2025-02,Odisha,723841,691948,31893,723841,71724,71724,507481,144636,470109,0.7011,0.0991,0.1998,0.2989,0.9009,0.0,0.9009,-0.6841,401746,0.9119,0,97.25,High Risk,0.9725,97.25,High Risk,Administrative Bottleneck,High Risk (Score: 97.2): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 90.1%).
2025-02,Rajasthan,118375,113162,5213,118375,118375,51766,688,65921,51766,0.0058,0.4373,0.5569,0.9942,0.5627,0.0,0.5627,0.4205,0,0.9119,0,5.56,Normal,0.0556,5.56,Normal,Normal Workflow,Normal administrative progression (Risk Score: 5.6). Features align with standard state baselines.
2025-02,Tamil Nadu,34667,33119,1548,34667,1349,1349,20607,12711,16508,0.5944,0.0389,0.3667,0.4056,0.9611,0.0,0.9611,-0.1678,15159,0.9107,0,18.16,Normal,0.1816,18.16,Normal,Normal Workflow,Normal administrative progression (Risk Score: 18.2). Features align with standard state baselines.
2025-02,Telangana,655249,651822,3427,144,138,101,560722,94426,231456,0.8557,0.0002,0.1441,0.1443,0.0001,0.9998,0.2986,-0.8564,620,0.9895,0,55.8,Attention,0.558,55.8,Attention,Backlog Accumulation,"Attention (Score: 55.8): Expanding unresolved backlog (Pending Rate: 85.6%, MoM Growth: +620 claims)."
2025-02,Tripura,200721,200557,164,200721,200721,128032,3841,68848,128032,0.0191,0.6379,0.343,0.9809,0.3621,0.0,0.3621,-0.2411,0,0.9984,0,11.47,Normal,0.1147,11.47,Normal,Normal Workflow,Normal administrative progression (Risk Score: 11.5). Features align with standard state baselines.
2025-02,Uttar Pradesh,94166,92972,1194,94166,94166,23430,0,70736,23430,0.0,0.2488,0.7512,1.0,0.7512,0.0,0.7512,1.0215,-68,0.9746,0,2.76,Normal,0.0276,2.76,Normal,Normal Workflow,Normal administrative progression (Risk Score: 2.8). Features align with standard state baselines.
2025-02,Uttarakhand,6678,3587,3091,6678,6678,6678,0,6493,185,0.0,1.0,0.9723,1.0,0.0,0.0,0.0,1.7054,-185,0.0743,1,38.78,Normal,0.3878,38.78,Normal,Normal Workflow,Normal administrative progression (Risk Score: 38.8). Features align with standard state baselines.
2025-02,West Bengal,142081,131962,10119,142081,142081,45130,364,96587,45130,0.0026,0.3176,0.6798,0.9974,0.6824,0.0,0.6824,0.8007,-686,0.8576,0,22.91,Normal,0.2291,22.91,Normal,Normal Workflow,Normal administrative progression (Risk Score: 22.9). Features align with standard state baselines.
2025-03,Andhra Pradesh,288381,285087,3294,288381,288381,228473,1498,58410,228473,0.0052,0.7923,0.2025,0.9948,0.2077,0.0,0.2077,-0.675,0,0.9772,0,16.94,Normal,0.1694,16.94,Normal,Normal Workflow,Normal administrative progression (Risk Score: 16.9). Features align with standard state baselines.
2025-03,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2943,0,0.922,0,32.24,Normal,0.3224,32.24,Normal,Normal Workflow,Normal administrative progression (Risk Score: 32.2). Features align with standard state baselines.
2025-03,Bihar,191,4696,4696,191,191,191,0,4687,4496,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7643,-9,0.0,1,35.72,Normal,0.3572,35.72,Normal,Normal Workflow,Normal administrative progression (Risk Score: 35.7). Features align with standard state baselines.
2025-03,Chhattisgarh,947479,890220,57259,947479,947479,534068,6624,406787,534068,0.007,0.5637,0.4293,0.993,0.4363,0.0,0.4363,0.0187,-6871,0.8791,0,73.15,High Risk,0.7315,73.15,High Risk,Administrative Bottleneck,High Risk (Score: 73.2): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 43.6%).
2025-03,Goa,10136,9757,379,4660,2742,2096,7861,179,871,0.7756,0.2068,0.0177,0.2244,0.253,0.5403,0.5502,-1.2402,2563,0.9252,0,26.04,Normal,0.2604,26.04,Normal,Normal Workflow,Normal administrative progression (Risk Score: 26.0). Features align with standard state baselines.
2025-03,Gujarat,190056,182869,7187,186192,119410,103503,84222,2331,103503,0.4431,0.5446,0.0123,0.5569,0.4351,0.0203,0.4441,-1.2567,-422,0.9244,0,13.66,Normal,0.1366,13.66,Normal,Normal Workflow,Normal administrative progression (Risk Score: 13.7). Features align with standard state baselines.
2025-03,Himachal Pradesh,5566,4883,683,5566,5566,808,4704,54,808,0.8451,0.1452,0.0097,0.1549,0.8548,0.0,0.8548,-1.2647,-2,0.7546,0,12.35,Normal,0.1235,12.35,Normal,Normal Workflow,Normal administrative progression (Risk Score: 12.3). Features align with standard state baselines.
2025-03,J&K,46090,33233,12857,46090,46090,6020,146,39924,6020,0.0032,0.1306,0.8662,0.9968,0.8694,0.0,0.8694,1.355,0,0.4421,0,17.58,Normal,0.1758,17.58,Normal,Normal Workflow,Normal administrative progression (Risk Score: 17.6). Features align with standard state baselines.
2025-03,Jharkhand,110756,107032,3724,5566,2531,2531,80118,28107,61970,0.7234,0.0229,0.2538,0.2766,0.0274,0.9497,0.5453,-0.5181,15046,0.9328,0,17.81,Normal,0.1781,17.81,Normal,Normal Workflow,Normal administrative progression (Risk Score: 17.8). Features align with standard state baselines.
2025-03,Karnataka,294489,288549,5940,113013,17577,415,40805,253269,16326,0.1386,0.0014,0.86,0.8614,0.3824,0.6162,0.9963,1.3361,15911,0.9597,0,45.05,Attention,0.4505,45.05,Attention,Administrative Bottleneck,Attention (Score: 45.0): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 38.2%).
2025-03,Kerala,45446,44455,991,45446,39773,39773,0,12994,29460,0.0,0.8752,0.2859,1.0,0.1248,0.0,0.1248,-0.4199,0,0.9564,1,20.66,Normal,0.2066,20.66,Normal,Normal Workflow,Normal administrative progression (Risk Score: 20.7). Features align with standard state baselines.
2025-03,Madhya Pradesh,627513,585326,42187,627513,627513,294877,10229,322407,294877,0.0163,0.4699,0.5138,0.9837,0.5301,0.0,0.5301,0.2772,0,0.8655,0,33.15,Normal,0.3315,33.15,Normal,Normal Workflow,Normal administrative progression (Risk Score: 33.1). Features align with standard state baselines.
2025-03,Maharashtra,409156,397897,11259,374165,174066,174066,62459,172631,208335,0.1527,0.4254,0.4219,0.8473,0.4891,0.0855,0.5348,-0.0039,-162319,0.945,0,29.26,Normal,0.2926,29.26,Normal,Normal Workflow,Normal administrative progression (Risk Score: 29.3). Features align with standard state baselines.
2025-03,Odisha,724392,691948,32444,118375,71724,71724,508032,144636,470251,0.7013,0.099,0.1997,0.2987,0.0644,0.8366,0.3941,-0.6835,551,0.9104,0,81.99,High Risk,0.8199,81.99,High Risk,Administrative Bottleneck,High Risk (Score: 82.0): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 6.4%).
2025-03,Rajasthan,118375,113162,5213,118375,118375,51766,688,65921,51766,0.0058,0.4373,0.5569,0.9942,0.5627,0.0,0.5627,0.409,0,0.9119,0,5.56,Normal,0.0556,5.56,Normal,Normal Workflow,Normal administrative progression (Risk Score: 5.6). Features align with standard state baselines.
2025-03,Tamil Nadu,34667,33119,1548,27582,16972,16568,5388,12711,16508,0.1554,0.4779,0.3667,0.8446,0.3177,0.2044,0.3993,-0.1728,-15219,0.9107,0,7.35,Normal,0.0735,7.35,Normal,Normal Workflow,Normal administrative progression (Risk Score: 7.3). Features align with standard state baselines.
2025-03,Telangana,655249,651822,3427,231456,138,138,560685,94426,231456,0.8557,0.0002,0.1441,0.1443,0.353,0.6468,0.9994,-0.8536,-37,0.9895,0,65.34,High Risk,0.6534,65.34,High Risk,Administrative Bottleneck,High Risk (Score: 65.3): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 35.3%).
2025-03,Tripura,200721,200557,164,94166,1048,1048,130825,68848,128032,0.6518,0.0052,0.343,0.3482,0.4639,0.5309,0.9889,-0.2452,126984,0.9984,0,40.33,Attention,0.4033,40.33,Attention,Administrative Bottleneck,Attention (Score: 40.3): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 46.4%).
2025-03,Uttar Pradesh,94166,92972,1194,94166,94166,23430,0,70736,23430,0.0,0.2488,0.7512,1.0,0.7512,0.0,0.7512,1.0033,0,0.9746,0,0.06,Normal,0.0006,0.06,Normal,Normal Workflow,Normal administrative progression (Risk Score: 0.1). Features align with standard state baselines.
2025-03,Uttarakhand,6678,3587,3091,6678,1022,1022,0,6493,185,0.0,0.153,0.9723,1.0,0.847,0.0,0.847,1.6795,0,0.0743,1,43.33,Attention,0.4333,43.33,Attention,Data Discrepancy,Attention (Score: 43.3): Operational data contradiction flagged. Official counts show mathematical inconsistency across claims received vs approved/rejected totals.
2025-03,West Bengal,142081,131962,10119,0,0,0,45494,96587,45130,0.3202,0.0,0.6798,0.6798,0.0,1.0,0.0,0.7849,45130,0.8576,0,28.4,Normal,0.284,28.4,Normal,Normal Workflow,Normal administrative progression (Risk Score: 28.4). Features align with standard state baselines.
2025-04,Andhra Pradesh,288392,285098,3294,288392,288392,228473,1509,58410,228473,0.0052,0.7922,0.2025,0.9948,0.2078,0.0,0.2078,-0.6763,11,0.9772,0,14.95,Normal,0.1495,14.95,Normal,Normal Workflow,Normal administrative progression (Risk Score: 14.9). Features align with standard state baselines.
2025-04,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3026,0,0.922,0,30.46,Normal,0.3046,30.46,Normal,Normal Workflow,Normal administrative progression (Risk Score: 30.5). Features align with standard state baselines.
2025-04,Bihar,4696,4696,0,4696,4696,4696,0,4496,191,0.0,1.0,0.9574,1.0,0.0,0.0,0.0,1.6587,0,1.0,1,25.31,Normal,0.2531,25.31,Normal,Normal Workflow,Normal administrative progression (Risk Score: 25.3). Features align with standard state baselines.
2025-04,Chhattisgarh,947479,890220,57259,947479,947479,534068,6624,406787,534068,0.007,0.5637,0.4293,0.993,0.4363,0.0,0.4363,0.0252,0,0.8791,0,72.67,High Risk,0.7267,72.67,High Risk,Administrative Bottleneck,High Risk (Score: 72.7): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 43.6%).
2025-04,Goa,10136,9757,379,4660,2742,2098,7859,179,871,0.7754,0.207,0.0177,0.2246,0.2528,0.5403,0.5498,-1.2479,-2,0.9252,0,25.88,Normal,0.2588,25.88,Normal,Normal Workflow,Normal administrative progression (Risk Score: 25.9). Features align with standard state baselines.
2025-04,Gujarat,190056,182869,7187,186192,119410,103503,84222,2331,103503,0.4431,0.5446,0.0123,0.5569,0.4351,0.0203,0.4441,-1.2646,0,0.9244,0,13.07,Normal,0.1307,13.07,Normal,Normal Workflow,Normal administrative progression (Risk Score: 13.1). Features align with standard state baselines.
2025-04,Himachal Pradesh,5566,4883,683,5566,5566,808,4704,54,808,0.8451,0.1452,0.0097,0.1549,0.8548,0.0,0.8548,-1.2726,0,0.7546,0,12.35,Normal,0.1235,12.35,Normal,Normal Workflow,Normal administrative progression (Risk Score: 12.3). Features align with standard state baselines.
2025-04,J&K,46090,33233,12857,0,0,0,6166,39924,6020,0.1338,0.0,0.8662,0.8662,0.0,1.0,0.0,1.3766,6020,0.4421,0,21.73,Normal,0.2173,21.73,Normal,Normal Workflow,Normal administrative progression (Risk Score: 21.7). Features align with standard state baselines.
2025-04,Jharkhand,110756,107032,3724,5566,2531,2531,80118,28107,61970,0.7234,0.0229,0.2538,0.2766,0.0274,0.9497,0.5453,-0.5176,0,0.9328,0,17.53,Normal,0.1753,17.53,Normal,Normal Workflow,Normal administrative progression (Risk Score: 17.5). Features align with standard state baselines.
2025-04,Karnataka,294489,288549,5940,294489,294489,16326,24894,253269,16326,0.0845,0.0554,0.86,0.9155,0.9446,0.0,0.9446,1.3574,-15911,0.9597,0,39.05,Normal,0.3905,39.05,Normal,Normal Workflow,Normal administrative progression (Risk Score: 39.0). Features align with standard state baselines.
2025-04,Kerala,45469,44455,1014,40480,30801,29851,2624,12994,29481,0.0577,0.6565,0.2858,0.9423,0.2338,0.1097,0.2626,-0.4186,2624,0.9554,0,6.45,Normal,0.0645,6.45,Normal,Normal Workflow,Normal administrative progression (Risk Score: 6.5). Features align with standard state baselines.
2025-04,Madhya Pradesh,627513,585326,42187,627513,627513,294877,10229,322407,294877,0.0163,0.4699,0.5138,0.9837,0.5301,0.0,0.5301,0.2866,0,0.8655,0,35.42,Normal,0.3542,35.42,Normal,Normal Workflow,Normal administrative progression (Risk Score: 35.4). Features align with standard state baselines.
2025-04,Maharashtra,409156,397897,11259,374165,174066,174066,62459,172631,208335,0.1527,0.4254,0.4219,0.8473,0.4891,0.0855,0.5348,0.0023,0,0.945,0,22.38,Normal,0.2238,22.38,Normal,Normal Workflow,Normal administrative progression (Risk Score: 22.4). Features align with standard state baselines.
2025-04,Odisha,724392,691948,32444,576206,494969,479359,100397,144636,470251,0.1386,0.6617,0.1997,0.8614,0.1337,0.2046,0.1681,-0.685,-407635,0.9104,0,79.75,High Risk,0.7975,79.75,High Risk,Imbalanced Filing,High Risk (Score: 79.8): High structural imbalance between individual and community claim processing.
2025-04,Rajasthan,118375,113162,5213,76333,63849,51766,688,65921,51766,0.0058,0.4373,0.5569,0.9942,0.2075,0.3552,0.3218,0.4199,0,0.9119,0,5.21,Normal,0.0521,5.21,Normal,Normal Workflow,Normal administrative progression (Risk Score: 5.2). Features align with standard state baselines.
2025-04,Tamil Nadu,34667,33119,1548,27582,16972,16568,5388,12711,16508,0.1554,0.4779,0.3667,0.8446,0.3177,0.2044,0.3993,-0.1684,0,0.9107,0,6.02,Normal,0.0602,6.02,Normal,Normal Workflow,Normal administrative progression (Risk Score: 6.0). Features align with standard state baselines.
2025-04,Telangana,655249,651822,3427,231456,231456,231456,329367,94426,231456,0.5027,0.3532,0.1441,0.4973,0.0,0.6468,0.0,-0.8569,-231318,0.9895,0,68.84,High Risk,0.6884,68.84,High Risk,Backlog Accumulation,"High Risk (Score: 68.8): Expanding unresolved backlog (Pending Rate: 50.3%, MoM Growth: +-231,318 claims)."
2025-04,Tripura,200721,200557,164,153257,136437,131793,80,68848,128032,0.0004,0.6566,0.343,0.9996,0.1069,0.2365,0.1401,-0.2417,-130745,0.9984,0,20.11,Normal,0.2011,20.11,Normal,Normal Workflow,Normal administrative progression (Risk Score: 20.1). Features align with standard state baselines.
2025-04,Uttar Pradesh,94166,92972,1194,94166,94166,23430,0,70736,23430,0.0,0.2488,0.7512,1.0,0.7512,0.0,0.7512,1.0209,0,0.9746,0,0.36,Normal,0.0036,0.36,Normal,Normal Workflow,Normal administrative progression (Risk Score: 0.4). Features align with standard state baselines.
2025-04,Uttarakhand,6678,3587,3091,0,0,0,185,6493,185,0.0277,0.0,0.9723,0.9723,0.0,1.0,0.0,1.7048,185,0.0743,0,20.4,Normal,0.204,20.4,Normal,Normal Workflow,Normal administrative progression (Risk Score: 20.4). Features align with standard state baselines.
2025-04,West Bengal,142081,131962,10119,52610,51897,45130,364,96587,45130,0.0026,0.3176,0.6798,0.9974,0.0526,0.6297,0.1422,0.8,-45130,0.8576,0,18.46,Normal,0.1846,18.46,Normal,Normal Workflow,Normal administrative progression (Risk Score: 18.5). Features align with standard state baselines.
2025-05,Andhra Pradesh,288392,285098,3294,288392,288392,228473,1509,58410,228473,0.0052,0.7922,0.2025,0.9948,0.2078,0.0,0.2078,-0.6807,0,0.9772,0,13.26,Normal,0.1326,13.26,Normal,Normal Workflow,Normal administrative progression (Risk Score: 13.3). Features align with standard state baselines.
2025-05,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3028,0,0.922,0,30.53,Normal,0.3053,30.53,Normal,Normal Workflow,Normal administrative progression (Risk Score: 30.5). Features align with standard state baselines.
2025-05,Bihar,191,4696,4696,191,191,21,0,9981,4687,0.0,0.1099,1.0,1.0,0.8901,0.0,0.8901,1.769,0,0.0,1,51.02,Attention,0.5102,51.02,Attention,Data Discrepancy,Attention (Score: 51.0): Operational data contradiction flagged. Official counts show mathematical inconsistency across claims received vs approved/rejected totals.
2025-05,Chhattisgarh,947479,890220,57259,843086,841839,534521,6171,406787,534068,0.0065,0.5642,0.4293,0.9935,0.3257,0.1102,0.366,0.0159,-453,0.8791,0,64.49,Attention,0.6449,64.49,Attention,Administrative Bottleneck,Attention (Score: 64.5): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 32.6%).
2025-05,Goa,10136,9757,379,4863,3423,2161,7528,447,871,0.7427,0.2132,0.0441,0.2573,0.2666,0.5202,0.5556,-1.1673,-331,0.9252,0,23.6,Normal,0.236,23.6,Normal,Normal Workflow,Normal administrative progression (Risk Score: 23.6). Features align with standard state baselines.
